Remainder,Steps,Decision_Tree,Score,Num_Of_Choices_Made
4579101112,4,"['Step1: (2,3,5) (2,3)', 'Step2: (8) (8)', 'Step3: (6,1,7) (6,1)']",1,2
12789101112,4,"['Step1: (2,3,5) (5)', 'Step2: (6,3,9) (6,3)', 'Step3: (4) (4)']",1,2
191012,8,"['Step1: (5,2,7) (5,2)', 'Step2: (11) (11)', 'Step3: (3,1,4) (4)', 'Step4: (3) (3)', 'Step5: (6) (6)', 'Step6: (7) (7)', 'Step7: (8) (8)']",4,2
2345791012,4,"['Step1: (1,6,7) (1,6)', 'Step2: (11) (11)', 'Step3: (8) (8)']",1,1
8101112,6,"['Step1: (3,5,8) (3,5)', 'Step2: (1,6,7) (1,6)', 'Step3: (9) (9)', 'Step4: (7) (7)', 'Step5: (2,4) (2,4)']",3,2
57891112,5,"['Step1: (5,1,6) (6)', 'Step2: (3,1,4) (3,1)', 'Step3: (10) (10)', 'Step4: (4,2) (4,2)']",2,2
4101112,7,"['Step1: (2,6,8) (8)', 'Step2: (3,5) (3,5)', 'Step3: (6) (6)', 'Step4: (9) (9)', 'Step5: (2,1) (2,1)', 'Step6: (7) (7)']",3,1
258101112,5,"['Step1: (6,3,9) (9)', 'Step2: (1,3,4) (1,3)', 'Step3: (4,6,10) (4,6)', 'Step4: (5,2,7) (7)']",1,4
23789101112,3,"['Step1: (1,5,6) (1,5)', 'Step2: (6,4,10) (6,4)']",1,2
28912,7,"['Step1: (4,5,9) (4,5)', 'Step2: (7) (7)', 'Step3: (6) (6)', 'Step4: (3,1) (3,1)', 'Step5: (10) (10)', 'Step6: (11) (11)']",5,1
467101112,5,"['Step1: (1,5,6) (1,5)', 'Step2: (8) (8)', 'Step3: (3,2) (3,2)', 'Step4: (9) (9)']",1,1
1367101112,5,"['Step1: (4,2,6) (4,2)', 'Step2: (8) (8)', 'Step3: (9) (9)', 'Step4: (5) (5)']",1,1
36789101112,3,"['Step1: (2,4,6) (2,4)', 'Step2: (1,5,6) (1,5)']",1,2
2689101112,4,"['Step1: (3,4,7) (7)', 'Step2: (3,5,8) (3,5)', 'Step3: (1,4) (1,4)']",1,2
2346791011,4,"['Step1: (12) (12)', 'Step2: (5,1,6) (5,1)', 'Step3: (8) (8)']",1,1
179101112,5,"['Step1: (4,5,9) (4,5)', 'Step2: (8) (8)', 'Step3: (2,3) (2,3)', 'Step4: (6) (6)']",1,1
124591112,6,"['Step1: (2,1,3) (3)', 'Step2: (8) (8)', 'Step3: (2,5,7) (7)', 'Step4: (6) (6)', 'Step5: (10) (10)']",1,2
12791011,6,"['Step1: (5,3,8) (5,3)', 'Step2: (12) (12)', 'Step3: (4) (4)', 'Step4: (6) (6)', 'Step5: (8) (8)']",2,1
15678101112,4,"['Step1: (4) (4)', 'Step2: (9) (9)', 'Step3: (3,2,5) (3,2)']",1,1
279101112,5,"['Step1: (6) (6)', 'Step2: (5,4,9) (5,4)', 'Step3: (3,1) (3,1)', 'Step4: (8) (8)']",1,1
12479101112,4,"['Step1: (5,6,11) (5,6)', 'Step2: (2,1,3) (3)', 'Step3: (8) (8)']",1,2
49101112,6,"['Step1: (1,6,7) (7)', 'Step2: (5,1,6) (6)', 'Step3: (1,5) (1,5)', 'Step4: (8) (8)', 'Step5: (2,3) (2,3)']",2,2
2312,9,"['Step1: (1,6,7) (7)', 'Step2: (1,6) (1,6)', 'Step3: (5) (5)', 'Step4: (9) (9)', 'Step5: (11) (11)', 'Step6: (8) (8)', 'Step7: (4) (4)', 'Step8: (10) (10)']",6,1
123891112,5,"['Step1: (1,4,5) (5)', 'Step2: (6,4,10) (10)', 'Step3: (7) (7)', 'Step4: (6,4) (6,4)']",1,2
4679101112,4,"['Step1: (2,1,3) (2,1)', 'Step2: (8) (8)', 'Step3: (5,3) (5,3)']",1,1
23589,7,"['Step1: (5,2,7) (7)', 'Step2: (5,6,11) (11)', 'Step3: (10) (10)', 'Step4: (12) (12)', 'Step5: (1,4,5) (1,4)', 'Step6: (6) (6)']",5,3
24561011,6,"['Step1: (3,1,4) (3,1)', 'Step2: (8) (8)', 'Step3: (7) (7)', 'Step4: (12) (12)', 'Step5: (9) (9)']",2,1
123457891112,3,"['Step1: (10) (10)', 'Step2: (1,5,6) (6)']",1,1
1347101112,5,"['Step1: (6,2,8) (6,2)', 'Step2: (4,1,5) (5)', 'Step3: (9) (9)', 'Step4: (8) (8)']",1,2
4678101112,4,"['Step1: (5,2,7) (5,2)', 'Step2: (3,1,4) (3,1)', 'Step3: (9) (9)']",1,2
56791011,6,"['Step1: (2) (2)', 'Step2: (3,1,4) (3,1)', 'Step3: (4) (4)', 'Step4: (12) (12)', 'Step5: (8) (8)']",2,1
149101112,5,"['Step1: (5,6,11) (5,6)', 'Step2: (3,2) (3,2)', 'Step3: (7) (7)', 'Step4: (8) (8)']",1,1
4679101112,4,"['Step1: (1,2,3) (1,2)', 'Step2: (8) (8)', 'Step3: (5,3) (5,3)']",1,1
12357101112,4,"['Step1: (8) (8)', 'Step2: (4,6,10) (4,6)', 'Step3: (9) (9)']",1,1
3678912,5,"['Step1: (5,2,7) (5,2)', 'Step2: (11) (11)', 'Step3: (1,4) (1,4)', 'Step4: (10) (10)']",3,1
123567101112,4,"['Step1: (5,4,9) (9)', 'Step2: (4) (4)', 'Step3: (2,6,8) (8)']",1,2
123679101112,4,"['Step1: (3,2,5) (5)', 'Step2: (6,2,8) (8)', 'Step3: (4) (4)']",1,2
123891011,5,"['Step1: (5,1,6) (6)', 'Step2: (12) (12)', 'Step3: (5,4,9) (5,4)', 'Step4: (7) (7)']",1,2
134791012,6,"['Step1: (6,5,11) (11)', 'Step2: (2) (2)', 'Step3: (5) (5)', 'Step4: (8) (8)', 'Step5: (6) (6)']",1,1
2671012,6,"['Step1: (6,2,8) (8)', 'Step2: (5,3) (5,3)', 'Step3: (11) (11)', 'Step4: (4,1) (4,1)', 'Step5: (9) (9)']",3,1
12789101112,4,"['Step1: (6,5,11) (6,5)', 'Step2: (2,1,3) (3)', 'Step3: (4) (4)']",1,2
1234689101112,3,"['Step1: (3,2,5) (5)', 'Step2: (4,3,7) (7)']",1,2
2456789101112,2,"['Step1: (3,1,4) (3,1)']",1,1
13458101112,4,"['Step1: (4,5,9) (9)', 'Step2: (1,6,7) (7)', 'Step3: (2,6,8) (2,6)']",1,3
1235710,6,"['Step1: (6,5,11) (11)', 'Step2: (5,3,8) (8)', 'Step3: (3,6,9) (9)', 'Step4: (12) (12)', 'Step5: (4,6,10) (4,6)']",3,4
23789101112,3,"['Step1: (6,1,7) (6,1)', 'Step2: (5,4,9) (5,4)']",1,2
1467911,6,"['Step1: (1,4,5) (5)', 'Step2: (2,3) (2,3)', 'Step3: (8) (8)', 'Step4: (12) (12)', 'Step5: (10) (10)']",3,1
101112,8,"['Step1: (3,5,8) (8)', 'Step2: (6) (6)', 'Step3: (5,4,9) (9)', 'Step4: (3,1,4) (4)', 'Step5: (7) (7)', 'Step6: (1,3) (1,3)', 'Step7: (5,2) (5,2)']",4,3
1481112,8,"['Step1: (2,1,3) (3)', 'Step2: (10) (10)', 'Step3: (5) (5)', 'Step4: (9) (9)', 'Step5: (7) (7)', 'Step6: (2,4,6) (6)', 'Step7: (2) (2)']",3,2
