Remainder,Steps,Decision_Tree,Score,Num_Of_Choices_Made
151112,7,"['Step1: [(1, 7),(2, 6),(3, 5),8] (2, 6)', 'Step2: [(1, 7),(3, 5),8] 8', 'Step3: [(3, 4),7] (3, 4)', 'Step4: [9] 9', 'Step5: [7] 7', 'Step6: [10] 10']",4,0
6791112,5,"['Step1: [(1, 6),(2, 5),(3, 4),7] (2, 5)', 'Step2: [(1, 11),(3, 9),(4, 8),12] (4, 8)', 'Step3: [(1, 10),11] (1, 10)', 'Step4: [3] 3']",3,0
1101112,7,"['Step1: [(1, 4),(2, 3),5] 5', 'Step2: [(1, 8),(2, 7),(3, 6),9] 9', 'Step3: [(1, 8),(2, 7),(3, 6)] (3, 6)', 'Step4: [(2, 4)]', 'Step5: [(1, 7),8] 8', 'Step6: [7] 7']",3,0
1101112,6,"['Step1: [(1, 8),(2, 7),(3, 6),(4, 5),9] (3, 6)', 'Step2: [(1, 10),(2, 9),(4, 7),11] (4, 7)', 'Step3: [(1, 8),9] 9', 'Step4: [8] 8', 'Step5: [(2, 5)]']",3,0
131012,8,"['Step1: [(1, 10),(2, 9),(3, 8),(4, 7),(5, 6),11] 11', 'Step2: [2] 2', 'Step3: [(1, 7),(3, 5),8] 8', 'Step4: [(1, 10),(4, 7),(5, 6)] (4, 7)', 'Step5: [(1, 5),6] 6', 'Step6: [9] 9', 'Step7: [5] 5']",4,0
9101112,6,"['Step1: [(1, 5),(2, 4),6] (1, 5)', 'Step2: [(2, 7),(3, 6),9] (2, 7)', 'Step3: [6] 6', 'Step4: [8] 8', 'Step5: [(3, 4)]']",3,0
6101112,7,"['Step1: [(1, 6),(2, 5),(3, 4),7] 7', 'Step2: [(2, 6),(3, 5),8] (3, 5)', 'Step3: [(2, 6),8] 8', 'Step4: [(1, 4)]', 'Step5: [2] 2', 'Step6: [9] 9']",3,0
5812,7,"['Step1: [(1, 11),(2, 10),(3, 9),(4, 8),(5, 7),12] (3, 9)', 'Step2: [(1, 11),(2, 10),(4, 8),(5, 7),12] (2, 10)', 'Step3: [(1, 6),7] (1, 6)', 'Step4: [7] 7', 'Step5: [11] 11', 'Step6: [4] 4']",6,0
589101112,4,"['Step1: [(1, 7),(2, 6),(3, 5),8] (1, 7)', 'Step2: [(3, 6),(4, 5),9] (3, 6)', 'Step3: [(2, 4)]']",1,0
911,8,"['Step1: [(1, 5),(2, 4),6] (2, 4)', 'Step2: [(1, 11),(3, 9),(5, 7),12] 12', 'Step3: [(1, 5),6] 6', 'Step4: [3] 3', 'Step5: [(1, 8),9] (1, 8)', 'Step6: [(5, 7)]', 'Step7: [10] 10']",7,0
