Remainder,Steps,Decision_Tree,Score,Success
1235781012,4,"['Step1: (4,6,10) (4,6)', 'Step2: (11) (11)', 'Step3: (9) (9)']",1,FALSE
1459101112,5,"['Step1: (3,2,5) (3,2)', 'Step2: (7) (7)', 'Step3: (6) (6)', 'Step4: (8) (8)']",1,FALSE
13781011,6,"['Step1: (2,4,6) (2,4)', 'Step2: (6) (6)', 'Step3: (5) (5)', 'Step4: (9) (9)', 'Step5: (12) (12)']",2,FALSE
1458101112,5,"['Step1: (1,2,3) (3)', 'Step2: (6,2,8) (6,2)', 'Step3: (9) (9)', 'Step4: (7) (7)']",1,FALSE
34567891112,3,"['Step1: (6,4,10) (10)', 'Step2: (1,2,3) (1,2)']",1,FALSE
1478910,5,"['Step1: (12) (12)', 'Step2: (3,2,5) (3,2)', 'Step3: (5,6,11) (5,6)', 'Step4: (11) (11)']",3,FALSE
1237891012,5,"['Step1: (6) (6)', 'Step2: (4,1,5) (5)', 'Step3: (11) (11)', 'Step4: (4,2) (4)']",1,FALSE
1367891012,4,"['Step1: (5,6,11) (11)', 'Step2: (3,2,5) (5)', 'Step3: (2,4,6) (2,4)']",1,FALSE
1235789101112,2,"['Step1: (6,4,10) (6,4)']",1,FALSE
1235678101112,3,"['Step1: (4) (4)', 'Step2: (9) (9)']",1,FALSE
41112,8,"['Step1: (6,3,9) (6,3)', 'Step2: (2,5,7) (7)', 'Step3: (10) (10)', 'Step4: (1,2) (1,2)', 'Step5: (5) (5)', 'Step6: (9) (9)', 'Step7: (8) (8)']",5,FALSE
134678101112,4,"['Step1: (4,1,5) (5)', 'Step2: (3,6,9) (9)', 'Step3: (2) (2)']",1,FALSE
1578101112,4,"['Step1: (3,6,9) (9)', 'Step2: (3,4,7) (3,4)', 'Step3: (6,2,8) (6,2)']",1,FALSE
1578101112,5,"['Step1: (3,6,9) (9)', 'Step2: (3,2,5) (3,2)', 'Step3: (6) (6)', 'Step4: (4) (4)']",1,FALSE
389101112,5,"['Step1: (2,4,6) (6)', 'Step2: (1,4,5) (1,4)', 'Step3: (5,2,7) (5,2)', 'Step4: (7) (7)']",1,FALSE
134101112,6,"['Step1: (6,3,9) (9)', 'Step2: (5,2,7) (5,2)', 'Step3: (4,3,7) (7)', 'Step4: (6) (6)', 'Step5: (8) (8)']",1,FALSE
16789101112,3,"['Step1: (3,2,5) (3,2)', 'Step2: (5,4,9) (5,4)']",1,FALSE
3101112,7,"['Step1: (3,6,9) (9)', 'Step2: (1,5,6) (6)', 'Step3: (1,4,5) (1,4)', 'Step4: (5,2,7) (5,2)', 'Step5: (7) (7)', 'Step6: (8) (8)']",3,FALSE
27101112,7,"['Step1: (4,1,5) (5)', 'Step2: (6) (6)', 'Step3: (3,1,4) (3,1)', 'Step4: (4) (4)', 'Step5: (9) (9)', 'Step6: (8) (8)']",2,FALSE
